DATE,NAME,QTY,WIDTH,HEIGHT,SQFT,,,,,
02/01/22,Cope & Stick Door,1,14,17.75,1.7,,,,,
02/01/22,Cope & Stick Drawer Front,1,31.3125,6.25,1.4,,,,,
02/01/22,Cope & Stick Drawer Front,1,31.3125,6.25,1.4,,,,,
02/01/22,Cope & Stick Drawer Front,1,31.3125,11.8125,2.6,,,,,
02/01/22,Cope & Stick Drawer Front,1,31.3125,11.8125,2.6,,,,,
02/01/22,Cope & Stick Drawer Front,1,31.3125,11.8125,2.6,,,,Bywater Doors,
02/01/22,Cope & Stick Drawer Front,1,31.3125,11.8125,2.6,,YEAR,MONTH,DATE,SQFT
02/01/22,Cope & Stick Door,1,23.875,30.125,5.0,,2023,2,"Feb, 2023","3,539"
02/01/22,Cope & Stick Drawer Front,1,20.8125,6.25,0.9,,2023,3,"Mar, 2023","2,133"
02/01/22,Cope & Stick Drawer Front,1,20.8125,6.25,0.9,,2022,2,"Feb, 2022","1,353"
02/01/22,Cope & Stick Drawer Front,1,20.8125,11.8125,1.7,,2022,3,"Mar, 2022","1,475"
02/01/22,Cope & Stick Drawer Front,1,20.8125,11.8125,1.7,,,,,
02/01/22,Cope & Stick Drawer Front,1,20.8125,11.8125,1.7,,,,,
02/01/22,Cope & Stick Drawer Front,1,20.8125,11.8125,1.7,,,,,
02/01/22,Cope & Stick Door,1,23.875,28.625,4.7,,,,,
02/01/22,Cope & Stick Door,1,23.875,28.625,4.7,,,,,
02/01/22,Cope & Stick Door,1,14,17.75,1.7,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
02/01/22,Cope & Stick Drawer Front,1,13.3125,9.45833333333333,0.9,,,,,
